time,x,y,z
0.000,0.098326,1.077892,9.720400
0.020,-0.064095,1.119839,9.639970
0.040,0.137842,1.088144,9.436626
0.060,0.347097,1.192362,9.426243
0.080,0.309867,1.008570,9.455015
0.100,0.418024,0.884994,9.624602
0.120,0.645444,0.928878,9.928938
0.140,0.469750,0.639056,9.889735
0.160,0.744259,0.655889,10.220974
0.180,0.738539,0.509542,10.085330
0.200,0.914265,0.540647,10.067870
0.220,0.805233,0.433992,10.029078
0.240,0.977713,0.593536,10.059939
0.260,0.764322,0.257697,9.795453
0.280,1.075438,0.372825,9.792214
0.300,0.741041,-0.026016,9.830567
0.320,0.968763,-0.027276,10.078085
0.340,0.834399,-0.269491,9.522384
0.360,0.921079,-0.396508,9.807391
0.380,0.966233,-0.427866,9.739735
0.400,0.937271,-0.381305,9.841377
0.420,0.875627,-0.518435,9.768144
0.440,0.977063,-0.442015,10.463885
0.460,0.672645,-0.683063,9.953712
0.480,0.661994,-0.811692,9.722318
0.500,0.466880,-0.955953,9.615743
0.520,0.660331,-0.935447,9.737912
0.540,0.176596,-0.999720,9.561596
0.560,0.103644,-1.074921,9.583372
0.580,0.122419,-1.246793,9.847859
0.600,-0.033999,-1.026355,9.729904
0.620,0.163342,-0.808567,9.774901
0.640,-0.159351,-1.068915,9.870032
0.660,-0.160018,-0.916643,9.947393
0.680,-0.102000,-0.882353,9.783626
0.700,-0.406926,-0.975661,9.306225
0.720,-0.394871,-0.796071,10.126756
0.740,-0.608496,-0.835661,9.653006
0.760,-0.564214,-0.774608,9.750274
0.780,-0.673688,-0.595172,9.927313
0.800,-0.893128,-0.733022,9.803884
0.820,-0.748633,-0.541846,10.297186
0.840,-0.801192,-0.388144,9.440336
0.860,-0.900640,-0.301411,9.627179
0.880,-1.024455,-0.351206,9.806999
0.900,-0.815663,-0.023841,9.403228
0.920,-1.011731,-0.150015,9.699308
0.940,-1.015911,0.062890,9.669940
0.960,-1.090363,-0.165776,9.585604
0.980,-0.848409,0.200722,9.646795
1.000,-0.838621,0.381124,9.970522
1.020,-0.777283,0.417177,10.135526
1.040,-0.998300,0.374766,9.632586
1.060,-0.938195,0.502660,10.225483
1.080,-0.790410,0.738787,9.854363
1.100,-0.657874,0.760892,10.011832
1.120,-0.830532,0.817706,9.963732
1.140,-0.510480,0.864061,9.754994
1.160,-0.441805,0.809002,9.484793
1.180,-0.379843,0.984601,9.540494
1.200,-0.300302,1.025128,9.481202
1.220,-0.270985,1.034506,9.493827
1.240,-0.145773,0.949333,9.608373
1.260,-0.273322,0.833868,9.754372
1.280,0.132282,0.913603,9.355701
1.300,0.130832,1.053493,9.603616
1.320,0.375244,0.720178,9.972849
1.340,0.582610,0.922430,9.970180
1.360,0.349440,0.822593,9.703130
1.380,0.619086,0.976180,10.264793
1.400,0.677502,0.755188,9.692557
1.420,0.806097,0.677812,9.715896
1.440,0.723155,0.611071,9.887956
1.460,0.781532,0.577826,10.171585
1.480,0.697840,0.462919,9.455057
1.500,0.934882,0.353073,9.716216
1.520,1.222322,0.304979,10.081464
1.540,0.976639,0.205445,9.572063
1.560,0.889400,-0.028934,9.420900
1.580,0.932310,-0.162536,9.564960
1.600,0.846892,-0.226386,9.611794
1.620,1.054044,-0.137881,9.783847
1.640,0.861832,-0.245569,9.767912
1.660,0.787647,-0.458469,9.618578
1.680,0.810396,-0.523053,9.872724
1.700,0.939103,-0.633350,9.811434
1.720,0.838281,-0.574702,10.168240
1.740,0.768987,-0.920421,9.896780
1.760,0.633312,-0.814032,9.897113
1.780,0.544074,-0.794507,10.195747
1.800,0.351755,-0.845749,9.630932
1.820,0.434919,-0.801009,9.685919
1.840,0.148586,-0.742604,10.402480
1.860,0.189992,-1.028021,9.553630
1.880,-0.094767,-0.936337,9.554377
1.900,0.126345,-1.065621,9.881904
1.920,-0.276278,-0.994937,9.971824
1.940,-0.225412,-0.986932,9.604898
1.960,-0.466614,-0.932058,9.935251
1.980,-0.398138,-0.866927,10.099999
2.000,-0.414956,-0.720427,10.045796
2.020,-0.782007,-0.864524,9.565464
2.040,-0.748167,-0.769266,9.479927
2.060,-0.759204,-0.593040,9.793813
2.080,-0.815714,-0.591961,10.112862
2.100,-1.065688,-0.586564,9.948139
2.120,-0.932864,-0.419376,9.869430
2.140,-0.830957,-0.234274,9.743705
2.160,-1.047988,-0.481909,9.575480
2.180,-0.848812,0.101833,10.148500
2.200,-1.039107,-0.052292,9.545677
2.220,-1.211168,-0.033118,10.135759
2.240,-0.917293,0.161685,9.684298
2.260,-0.989283,0.428239,9.980670
2.280,-1.013721,0.387440,9.719688
2.300,-0.789403,0.479337,9.442854
2.320,-0.910515,0.473859,9.862056
2.340,-0.772700,0.625232,9.568418
2.360,-0.481981,0.683506,9.496298
2.380,-0.565133,0.942503,9.646289
2.400,-0.424278,0.731758,9.744905
2.420,-0.368631,1.100498,9.921199
2.440,-0.394118,0.846666,9.787504
2.460,-0.184240,0.851510,9.643969
2.480,-0.113340,1.050018,9.507684
2.500,-0.152123,1.298969,10.034936
2.520,-0.017160,1.048641,9.637815
2.540,0.100137,0.889686,9.260245
