feature,orig_mean,synth_mean,orig_std,drift_score
y_diff_std,0.09510335,0.11539396,0.022410559,0.90540385
x_diff_std,0.110943854,0.13595839,0.02780012,0.8997995
y_zcr,0.1527901,0.17733055,0.031584363,0.7769811
x_zcr,0.12980318,0.14849357,0.027670966,0.6754514
z_zcr,0.14329256,0.16737159,0.036965217,0.6513968
z_diff_std,0.07261503,0.08822909,0.02522717,0.6189383
x_dom_freq,1.8167919,1.8751363,0.37620884,0.15508504
x_min,-0.41788962,-0.4290539,0.10976777,0.10170816
vm_std,0.12330677,0.12594713,0.026207997,0.10074632
y_max,0.32811344,0.33507013,0.082023285,0.08481368
x_energy,0.05206542,0.053797558,0.021671446,0.079927154
y_dom_freq,2.155243,2.05778,1.2637662,0.07712098
vm_mean,0.2877539,0.2912199,0.045550898,0.076090276
sma,0.42364138,0.42847556,0.06625112,0.07296745
z_dom_freq,1.5221218,1.5841798,0.9344241,0.06641307
z_energy,0.019246226,0.01996142,0.011154352,0.06411796
y_energy,0.029457008,0.030213844,0.012896359,0.05868599
x_max,0.5580179,0.5654596,0.14351879,0.051851742
z_max,0.29847693,0.30271977,0.0882944,0.048053302
z_min,-0.3539621,-0.35984638,0.14210811,0.041407134
y_std,0.167875,0.16732526,0.03403997,0.016150089
z_std,0.1330789,0.13352412,0.037761666,0.0117901815
y_min,-0.496573,-0.49823043,0.14615606,0.011340114
x_std,0.22321537,0.2236131,0.046221703,0.008604765
x_mean,-0.0002553116,-0.00033231964,0.010189463,0.0075576147
y_mean,-0.00040318197,-0.0004067812,0.010774651,0.0003340472
z_mean,-0.00018963173,-0.00018722624,0.010499771,0.00022909927
